date,in_bed,asleep,snoring,rhr,hrv,body_weight_lb,other_notes,run_count,bike_count,swim_count,walk_count,strength_count,other_count,tri_session_count,total_session_count,run_miles,bike_miles,swim_miles,training_minutes,tri_training_minutes,total_elevation_ft,avg_hr_all,max_hr_all,avg_power_bike,weighted_power_bike,avg_cadence_bike,avg_cadence_run,avg_pace_run_min_per_mi,sauna_mins,notes
2026-01-05,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,29.1,0,101,90.6,99,,,,,,,
2026-01-04,,,,,,,,0,1,0,1,0,0,1,2,0,20.2,0,93.6,64.6,547,103.4,127,97.4,102,98.7,,,,
2026-01-03,,,,,,,,1,0,1,1,0,0,2,3,5.71,0,1.85,152.7,129.1,102,122.9,152,,,,171.6,10.52,,
2026-01-02,,,,,,,,0,1,0,0,0,0,1,1,0,55.09,0,162.4,162.4,1434,124.3,143,120.7,125,97.7,,,,
2026-01-01,,,,,,,,1,1,1,0,0,0,3,3,1.84,0,1.29,149.6,149.6,0,121.3,161,,,,,10.92,,
2025-12-31,,,,,,,,1,0,0,0,0,0,1,1,6.84,0,0,74.7,74.7,0,143.9,169,,,,,10.92,,
2025-12-30,,,,,,,,0,1,1,1,1,0,2,4,0,0,1.45,198,121.6,37,116.3,147,,,,,,,
2025-12-29,,,,,,,,0,0,0,0,1,0,0,1,0,0,0,70.1,0,0,,,,,,,,,
2025-12-28,,,,,,,,1,1,0,0,0,0,2,2,3.47,52.92,0,239.4,239.4,1545,128.3,160,119.8,134,88.9,,8.7,,
2025-12-27,,,,,,,,1,1,1,1,0,0,3,4,2.04,30.13,1.42,186.7,161.4,900,123.2,149,119.2,122,97.8,172.2,9.95,,
2025-12-26,,,,,,,,0,0,1,1,0,0,1,2,0,0,1.42,78.2,51.6,93,116,153,,,,,,,
2025-12-25,,,,,,,,0,0,0,1,1,0,0,2,0,0,0,105.2,0,112,86,106,,,,,,,
